,종목명,현재가,전일대비,등락률
0,KODEX 200선물인버스2X,"2,055",상승 20,+0.98%
1,판타지오,330,상승 45,+15.79%
2,바이오스마트,"6,010",상승 700,+13.18%
3,KODEX 코스닥150선물인버스,"3,480",상승 5,+0.14%
4,KODEX 인버스,"4,165",상승 25,+0.60%
5,흥아해운,"3,380",하락 350,-9.38%
6,램테크놀러지,"7,150",상승 970,+15.70%
7,HB테크놀러지,"3,615",하락 75,-2.03%
8,삼부토건,"1,759",상승 89,+5.33%
9,KODEX 코스닥150레버리지,"11,490",하락 35,-0.30%
10,대한전선,"13,520",상승 570,+4.40%
11,솔루스첨단소재,"20,900","상승 1,000",+5.03%
12,삼성전자,"84,100",보합,0.00%
13,에이프로젠,"1,815",하락 8,-0.44%
14,KODEX 레버리지,"19,520",하락 225,-1.14%
