,종목명,현재가,전일대비,등락률
0,대양제지,"14,790","상한가 3,410",+29.96%
1,엔터파트너즈,"5,910","상한가 1,360",+29.89%
2,대원전선우,"4,385",상승 980,+28.78%
3,핀텔,"3,725",상승 625,+20.16%
4,판타지오,330,상승 45,+15.79%
5,램테크놀러지,"7,150",상승 970,+15.70%
6,미래산업,"2,400",상승 285,+13.48%
7,가온전선,"42,550","상승 5,000",+13.32%
8,바이오스마트,"6,010",상승 700,+13.18%
9,스튜디오미르,"10,710","상승 1,240",+13.09%
10,솔루스첨단소재2우B,"7,000",상승 700,+11.11%
11,SGA,450,상승 40,+9.76%
12,데이타솔루션,"7,330",상승 590,+8.75%
13,마녀공장,"19,960","상승 1,560",+8.48%
14,미래에셋 S&P 유럽탄소배출권 선물 ETN,"11,285",상승 875,+8.41%
