,종목명,현재가,전일대비,등락률
0,삼성전자,"84,100",상승 500,+0.60%
1,SK하이닉스,"188,400","상승 5,500",+3.01%
2,LG에너지솔루션,"380,000","상승 6,000",+1.60%
3,삼성전자우,"69,200",상승 900,+1.32%
4,삼성바이오로직스,"795,000","하락 10,000",-1.24%
5,현대차,"241,000","상승 13,000",+5.70%
6,기아,"111,700","상승 3,700",+3.43%
7,셀트리온,"179,500","하락 1,800",-0.99%
8,POSCO홀딩스,"400,000","하락 3,500",-0.87%
9,NAVER,"183,600","하락 5,400",-2.86%
10,삼성SDI,"407,500","하락 3,500",-0.85%
11,KB금융,"68,300",하락 800,-1.16%
12,LG화학,"387,000","하락 8,000",-2.03%
13,삼성물산,"147,000","하락 2,300",-1.54%
14,현대모비스,"251,000","상승 8,000",+3.29%
