,종목명,현재가,전일대비,등락률
0,스타리츠,"4,830","하한가 -2,060",-29.90%
1,대상홀딩스우,"14,650","하락 -4,220",-22.36%
2,디에이테크놀로지,207,하락 -57,-21.59%
3,동신건설,"20,700","하락 -5,200",-20.08%
4,화천기계,"4,395","하락 -1,005",-18.61%
5,덕성우,"9,960","하락 -2,220",-18.23%
6,에이텍,"13,820","하락 -2,710",-16.39%
7,오리엔트정공,"1,409",하락 -273,-16.23%
8,테고사이언스,"20,600","하락 -3,600",-14.88%
9,태양금속우,"3,410",하락 -580,-14.54%
10,디티앤씨알오,"6,240","하락 -1,040",-14.29%
11,대영포장,"1,380",하락 -223,-13.91%
12,솔루스첨단소재1우,"3,315",하락 -520,-13.56%
13,토탈소프트,"4,880",하락 -730,-13.01%
14,에이텍모빌리티,"14,000","하락 -1,980",-12.39%
